"customer_state","avg_delivery_days","pct_delay","avg_review_score","total_state_revenue","unhappy_customers_revenue","pct_revenue_at_risk","deliveries_number"
SP,9,4.42,4.24,3149187.50,388251.93,12.33,24998
RJ,15,12.11,3.97,1055588.67,213852.51,20.26,7558
MG,12,4.29,4.19,962575.71,135467.54,14.07,7038
RS,15,5.94,4.17,441735.65,64122.45,14.52,3314
PR,12,3.76,4.29,417832.99,55867.92,13.37,3032
SC,15,7.96,4.12,320563.48,44073.60,13.75,2185
BA,19,11.34,3.93,310372.66,61327.72,19.76,2054
DF,13,5.88,4.14,176508.89,29688.58,16.82,1292
GO,16,7.21,4.07,174276.82,26038.43,14.94,1220
ES,15,9.98,4.04,160976.20,32914.92,20.45,1213
PE,18,9.52,4.08,149141.03,25642.52,17.19,966
CE,21,12.67,3.94,137162.51,28119.08,20.50,797
PA,24,11.70,3.83,103324.88,23507.76,22.75,581
MT,18,4.85,4.19,91677.01,11385.98,12.42,536
MA,22,16.56,3.88,74587.73,17008.44,22.80,453
PB,20,10.97,4.00,73319.18,9288.40,12.67,319
MS,15,9.56,4.19,65521.54,10548.61,16.10,429
PI,20,13.85,3.99,56072.06,10879.48,19.40,296
AL,24,21.32,3.91,53033.48,8711.34,16.43,258
RN,19,8.74,4.12,45872.71,10584.83,23.07,309
TO,18,11.32,4.16,33444.34,5690.28,17.01,159
SE,22,16.98,3.74,32895.58,9148.71,27.81,212
RO,20,3.68,4.12,29661.61,4532.84,15.28,163
AM,26,3.16,4.23,14786.92,2118.65,14.33,95
AC,23,6.98,4.07,9475.59,2140.71,22.59,43
AP,29,5.41,4.38,8402.13,0.00,0.00,37
RR,30,8.33,4.08,4299.23,1334.69,31.04,24
